time,Efield
2.180533182626665e-07,899.7048125083315
2.1873409865508167e-07,967.3046525357556
2.194767681740801e-07,1030.7604410672448
2.2021943769307848e-07,1052.7757146393951
2.209621072120769e-07,1043.7106019920393
2.217047767310753e-07,1020.4003123274106
2.223236679969073e-07,959.5345559808795
2.228806701361561e-07,865.5163876668759
2.2343767227540487e-07,782.7648593574432
2.239327852880705e-07,699.2363213925232
2.244278983007361e-07,596.2825420404121
2.250467895665681e-07,504.9839075206153
2.2578945908556648e-07,433.7580224342492
2.265321286045649e-07,353.4670247005271
2.272747981235633e-07,280.9461235216819
2.280174676425617e-07,204.54017406539822
2.2876013716156009e-07,112.5940314993618
2.2944091755397528e-07,18.575863185358003
2.299979196932241e-07,-68.06071340151209
2.305549218324729e-07,-153.9202803328949
2.311738130983049e-07,-240.9453617475101
2.3185459349072008e-07,-330.30147212858816
2.325353738831353e-07,-435.19777561941805
2.330923760223841e-07,-522.6113618617765
2.336493781616329e-07,-607.693919137672
2.343301585540481e-07,-701.9710906701713
2.350728280730465e-07,-760.2468148317438
2.358154975920449e-07,-761.541830924223
2.365581671110433e-07,-760.2468148317438
2.373008366300417e-07,-712.3312194100056
2.3804350614904012e-07,-625.5651412138876
2.386623974148721e-07,-540.094079110248
2.391575104275377e-07,-448.79544459045115
2.397145125667865e-07,-341.9566169609025
2.399620690731193e-07,-248.7154583023869
2.403334038326185e-07,-158.0643318288297
2.4076662771870094e-07,-58.3480927079174
2.410760733516169e-07,41.3681464129958
2.414474081111161e-07,132.0192728865521
2.4181874287061526e-07,227.85046373002692
2.421900776301145e-07,318.5015902035841
2.426851906427801e-07,422.6208840389267
2.4330408190861213e-07,514.3080233864677
2.439848623010273e-07,600.8150983640901
2.447275318200257e-07,651.3207259707858
2.454702013390241e-07,704.41638576244
2.462128708580225e-07,687.5811765602089
2.4695554037702093e-07,656.5007903407034
2.4769820989601934e-07,611.1752271039244
2.4831710116185133e-07,512.7540040754913
2.488122141745169e-07,417.57032127825687
2.4930732718718247e-07,324.32916261974134
2.498024401998481e-07,225.2604315450685
2.502975532125137e-07,130.07674874783328
2.507926662251793e-07,36.8355900893178
2.512877792378449e-07,-62.2331409853549
2.517210031239273e-07,-147.70420308899452
2.5215422701000973e-07,-240.9453617475101
2.5271122914925854e-07,-348.1726942048029
2.5326823128850734e-07,-431.31272734197967
2.5388712255433933e-07,-514.19375726066
2.5462979207333774e-07,-595.7797710868613
2.5537246159233615e-07,-654.0554952484339
2.5611513111133455e-07,-641.1053343236404
